grapheme	phoneme
แอลจีเรีย	ʔ ɛ n ˧ . t͡ɕ iː ˧ . r ia̯ ˧
ร้าวฉาน	r aːw ˦˥ . t͡ɕʰ aː n ˩˩˦
บ	b ɔː ˧
การรถไฟ	k aː n ˧ . r o t̚ ˦˥ . f aj ˧
แข็งข้อ	kʰ ɛ ŋ ˩˩˦ . kʰ ɔː ˥˩
เด็กแนว	d e k̚ ˨˩ . n ɛːw ˧
ดีฉัน	d iː ˧ . t͡ɕʰ a n ˩˩˦
ระยำ	r a ˦˥ . j a m ˧
หัวโขน	h ua̯ ˩˩˦ . kʰ oː n ˩˩˦
ม้าเร็ว	m aː ˦˥ . r ew ˧
สี่เหลี่ยมข้าวหลามตัด	s iː ˨˩ . l ia̯ m ˨˩ . kʰ aːw ˥˩ . l aː m ˩˩˦ . t a t̚ ˨˩
ซิมบับเว	s i m ˧ . b a p̚ ˦˥ . w eː ˧
ร้อยเอ็ด	r ɔːj ˦˥ . ʔ e t̚ ˨˩
อรุณสวัสดิ์	ʔ a ˨˩ . r u n ˧ . s a ˨˩ . w a t̚ ˨˩
ชก	t͡ɕʰ o k̚ ˦˥
ดูชานเบ	d uː ˧ . t͡ɕʰ aː n ˧ . b eː ˥˩
จันทน์เทศ	t͡ɕ a n ˧ . tʰ eː t̚ ˥˩
หวัง	w a ŋ ˩˩˦
ผ้าฝ้าย	pʰ aː ˥˩ . f aːj ˥˩
กวี	k a ˨˩ . w iː ˧
หัวแข็ง	h ua̯ ˩˩˦ . kʰ ɛ ŋ ˩˩˦
เตาผิง	t aw ˧ . pʰ i ŋ ˩˩˦
จิงโจ้ต้นไม้	t͡ɕ i ŋ ˧ . t͡ɕ oː ˥˩ . t o n ˥˩ . m aːj ˦˥
บอดี้	b ɔː ˧ . d iː ˥˩
ถั่งเช่า	tʰ a ŋ ˨˩ . t͡ɕʰ aw ˥˩
วิศวกรซอฟต์แวร์	w i t̚ ˦˥ . s a ˨˩ . w a ˦˥ . k ɔː n ˧ . s ɔː f ˦˥ . w ɛː ˧
ฮูก	h uː k̚ ˥˩
พระนคร	pʰ r a ˦˥ . n a ˦˥ . kʰ ɔː n ˧
เสดจ์	s a ˨˩ . d e t̚ ˨˩
ยาแก้ไอ	j aː ˧ . k ɛː ˥˩ . ʔ aj ˧
คอม	kʰ ɔ m ˧
ธนบดี	tʰ a ˦˥ . n a ˦˥ . b ɔː ˧ . d iː ˧
ขวด	kʰ ua̯ t̚ ˨˩
แสง	s ɛː ŋ ˩˩˦
หมอก	m ɔː k̚ ˨˩
ต้อน	t ɔː n ˥˩
การผูกขาด	k aː n ˧ . pʰ uː k̚ ˨˩ . kʰ aː t̚ ˨˩
เข้าเกณฑ์	kʰ aw ˥˩ . k eː n ˧
ร่าง	r aː ŋ ˥˩
พิการ	pʰ i ˦˥ . k aː n ˧
ไม้ยัน	m aːj ˦˥ . j a n ˧
เดียรัจฉาน	d ia̯ ˧ . r a t̚ ˦˥ . t͡ɕʰ aː n ˩˩˦
งอมพระราม	ŋ ɔ m ˧ . pʰ r a ˦˥ . r aː m ˧
ฟืม	f ɯː m ˧
ผู้หลักผู้ใหญ่	pʰ uː ˥˩ . l a k̚ ˨˩ . pʰ uː ˥˩ . j aj ˨˩
ใสศานต์	s aj ˩˩˦ . s aː n ˩˩˦
ประวัติการ	p r a ˨˩ . w a t̚ ˨˩ . k aː n ˧
ซีพียู	s iː ˧ . pʰ iː ˧ . j uː ˧
อนุรักษนิยม	ʔ a ˨˩ . n u ˦˥ . r a k̚ ˦˥ . s a ˨˩ . n i ˦˥ . j o m ˧
เตือน	t ɯa̯ n ˧
ความทุจริต	kʰ w aː m ˧ . tʰ u t̚ ˦˥ . t͡ɕ a ˨˩ . r i t̚ ˨˩
จิบูตี	t͡ɕ i ˨˩ . b uː ˧ . t iː ˧
โวลเตจ	w oː n ˧ . t eː t̚ ˨˩
รุน	r u n ˧
น้ำเต้าหู้	n aː m ˦˥ . t aw ˥˩ . h uː ˥˩
จับมือ	t͡ɕ a p̚ ˨˩ . m ɯː ˧
อิสตันบูล	ʔ i s ˦˥ . t a n ˥˩ . b uː l ˧
ซอสามสาย	s ɔː ˧ . s aː m ˩˩˦ . s aːj ˩˩˦
